1000, 5
11000, 39
21000, 16
31000, 10
41000, 15
51000, 16
61000, 18
71000, 18
81000, 20
91000, 22
101000, 23
111000, 26
121000, 27
131000, 29
141000, 34
151000, 34
161000, 39
171000, 49
181000, 48
191000, 49
201000, 50
211000, 55
221000, 56
231000, 57
241000, 63
251000, 64
261000, 67
271000, 68
281000, 75
291000, 78
301000, 83
311000, 85
321000, 86
331000, 92
341000, 103
351000, 96
361000, 103
371000, 103
381000, 105
391000, 119
401000, 163
411000, 116
421000, 119
431000, 121
441000, 124
451000, 128
461000, 131
471000, 139
481000, 145
491000, 150
501000, 148
511000, 154
521000, 158
531000, 160
541000, 159
551000, 165
561000, 169
571000, 171
581000, 175
591000, 176
601000, 178
611000, 183
621000, 187
631000, 196
641000, 193
651000, 197
661000, 201
671000, 206
681000, 224
691000, 214
701000, 216
711000, 225
721000, 229
731000, 230
741000, 234
751000, 245
761000, 246
771000, 246
781000, 290
791000, 251
801000, 254
811000, 254
821000, 261
831000, 264
841000, 269
851000, 270
861000, 277
871000, 279
881000, 281
891000, 292
901000, 293
911000, 296
921000, 300
931000, 306
941000, 308
951000, 312
961000, 315
971000, 322
981000, 322
991000, 326
1001000, 333
1011000, 336
1021000, 336
1031000, 340
1041000, 346
1051000, 349
1061000, 351
1071000, 358
1081000, 364
1091000, 362
1101000, 463
1111000, 375
1121000, 374
1131000, 378
1141000, 387
1151000, 393
1161000, 451
1171000, 471
1181000, 400
1191000, 402
1201000, 412
1211000, 408
1221000, 413
1231000, 416
1241000, 422
1251000, 428
1261000, 428
1271000, 437
1281000, 438
1291000, 444
1301000, 1172
1311000, 453
1321000, 456
1331000, 458
1341000, 463
1351000, 465
1361000, 469
1371000, 471
1381000, 474
1391000, 482
1401000, 488
1411000, 488
1421000, 494
1431000, 499
1441000, 499
1451000, 503
1461000, 507
1471000, 516
1481000, 519
1491000, 523
1501000, 527
1511000, 532
1521000, 534
1531000, 536
1541000, 540
1551000, 550
1561000, 549
1571000, 556
1581000, 558
1591000, 568
1601000, 565
1611000, 574
1621000, 581
1631000, 577
1641000, 587
1651000, 590
1661000, 592
1671000, 597
1681000, 675
1691000, 603
1701000, 608
1711000, 629
1721000, 645
1731000, 638
1741000, 641
1751000, 702
1761000, 779
1771000, 643
1781000, 644
1791000, 647
1801000, 651
1811000, 683
1821000, 685
1831000, 691
1841000, 671
1851000, 711
1861000, 780
1871000, 719
1881000, 698
1891000, 722
1901000, 851
1911000, 865
1921000, 753
1931000, 762
1941000, 714
1951000, 717
1961000, 720
1971000, 2026
1981000, 764
1991000, 837
